
Time               Days    r        x          y          z        Rate     Error
2020-034T21:37:41    5.5  0.24  -1.28E+07  -3.38E+07   2.78E+05  7.26E-03  2.98E-04  
2020-035T21:37:41    6.5  0.27  -9.43E+06  -3.90E+07   9.80E+03  5.83E-03  2.67E-04  
2020-036T21:37:41    7.5  0.29  -5.87E+06  -4.36E+07  -2.59E+05  4.27E-03  2.28E-04  
2020-037T21:37:41    8.5  0.32  -2.24E+06  -4.77E+07  -5.25E+05  4.25E-03  2.27E-04  
2020-038T21:37:41    9.5  0.34   1.41E+06  -5.13E+07  -7.86E+05  2.62E-03  1.80E-04  
2020-039T21:37:41   10.5  0.37   5.06E+06  -5.46E+07  -1.04E+06  2.48E-03  1.73E-04  
2020-040T21:37:41   11.5  0.39   8.67E+06  -5.76E+07  -1.29E+06  2.07E-03  1.60E-04  
2020-041T21:37:41   12.5  0.41   1.22E+07  -6.02E+07  -1.53E+06  1.93E-03  1.53E-04  
2020-042T21:37:41   13.5  0.43   1.58E+07  -6.26E+07  -1.77E+06  1.68E-03  1.43E-04  
2020-043T21:37:41   14.5  0.45   1.92E+07  -6.48E+07  -2.00E+06  1.72E-03  1.45E-04  
2020-044T21:37:41   15.5  0.47   2.26E+07  -6.68E+07  -2.22E+06  1.46E-03  1.34E-04  
2020-045T21:37:41   16.5  0.49   2.60E+07  -6.86E+07  -2.44E+06  1.17E-03  1.20E-04  
2020-046T21:37:41   17.5  0.51   2.92E+07  -7.02E+07  -2.65E+06  1.26E-03  1.24E-04  
2020-047T21:37:41   18.5  0.53   3.24E+07  -7.16E+07  -2.85E+06  1.26E-03  1.26E-04  
2020-048T21:37:41   19.5  0.54   3.56E+07  -7.29E+07  -3.05E+06  9.62E-04  1.06E-04  
2020-049T21:37:41   20.5  0.56   3.86E+07  -7.41E+07  -3.25E+06  8.68E-04  1.00E-04  
2020-050T21:37:41   21.5  0.57   4.17E+07  -7.51E+07  -3.43E+06  6.37E-04  8.58E-05  
2020-051T21:37:41   22.5  0.59   4.46E+07  -7.61E+07  -3.62E+06  6.37E-04  8.58E-05  
2020-052T21:37:41   23.5  0.60   4.75E+07  -7.69E+07  -3.79E+06  5.79E-04  8.18E-05  
2020-053T21:37:41   24.5  0.62   5.03E+07  -7.76E+07  -3.97E+06  6.37E-04  8.58E-05  
2020-054T21:37:41   25.5  0.63   5.30E+07  -7.82E+07  -4.13E+06  5.32E-04  7.85E-05  
2020-055T21:37:41   26.5  0.65   5.57E+07  -7.87E+07  -4.30E+06  5.44E-04  7.93E-05  
2020-056T21:37:41   27.5  0.66   5.84E+07  -7.92E+07  -4.45E+06  6.25E-04  8.50E-05  
2020-057T21:37:41   28.5  0.67   6.09E+07  -7.95E+07  -4.61E+06  4.05E-04  6.85E-05  
2020-058T21:37:41   29.5  0.68   6.34E+07  -7.98E+07  -4.76E+06  3.59E-04  6.44E-05  
2020-059T21:37:41   30.5  0.69   6.59E+07  -8.00E+07  -4.90E+06  3.36E-04  6.23E-05  
2020-060T21:37:41   31.5  0.70   6.83E+07  -8.01E+07  -5.04E+06  3.90E-04  9.76E-05  
2020-068T21:37:41   39.5  0.78   8.54E+07  -7.90E+07  -6.01E+06  2.93E-04  1.11E-04  
2020-069T21:37:41   40.5  0.79   8.73E+07  -7.86E+07  -6.11E+06  4.64E-04  1.47E-04  
2020-070T21:37:41   41.5  0.79   8.91E+07  -7.82E+07  -6.21E+06  2.43E-04  6.50E-05  
2020-071T21:37:41   42.5  0.80   9.09E+07  -7.77E+07  -6.31E+06  3.12E-04  1.04E-04  
2020-074T21:37:41   45.5  0.82   9.59E+07  -7.60E+07  -6.58E+06  2.08E-04  8.50E-05  
2020-075T21:37:41   46.5  0.82   9.75E+07  -7.53E+07  -6.66E+06  2.08E-04  8.50E-05  
2020-076T21:37:41   47.5  0.83   9.90E+07  -7.46E+07  -6.74E+06  2.08E-04  8.50E-05  
2020-079T21:37:41   50.5  0.84   1.03E+08  -7.23E+07  -6.95E+06  3.12E-04  1.04E-04  
2020-081T21:37:41   52.5  0.85   1.06E+08  -7.06E+07  -7.08E+06  2.08E-04  8.50E-05  
2020-083T21:37:41   54.5  0.86   1.08E+08  -6.87E+07  -7.19E+06  2.26E-04  6.26E-05  
2020-087T21:37:41   58.5  0.87   1.12E+08  -6.46E+07  -7.38E+06  2.43E-04  9.19E-05  
2020-089T21:37:41   60.5  0.87   1.14E+08  -6.24E+07  -7.45E+06  2.31E-04  5.18E-05  
2020-090T21:37:41   61.5  0.87   1.15E+08  -6.13E+07  -7.48E+06  2.43E-04  9.19E-05  
2020-091T21:37:41   62.5  0.87   1.16E+08  -6.01E+07  -7.51E+06  2.43E-04  9.19E-05  
2020-093T21:37:41   64.5  0.87   1.17E+08  -5.76E+07  -7.55E+06  2.08E-04  8.50E-05  
