1.066769998974E-16,1.222606218580E-1
1.295039973103E-16,1.236425088143E-1
1.623794068568E-16,1.277979501662E-1
2.354713170095E-16,1.381918883551E-1
3.253059298961E-16,1.499743820116E-1
3.823569278778E-16,1.575996560464E-1
4.494133271498E-16,1.666121518465E-1
4.991843788895E-16,1.728517601020E-1
6.259054935735E-16,1.901858082240E-1
8.105726335623E-16,2.109870216245E-1
9.374567106724E-16,2.241616272878E-1
1.092997973272E-15,2.408040650806E-1
1.284684073759E-15,2.595271132377E-1
1.497836724543E-15,2.796376054437E-1
1.650329507101E-15,2.921199339266E-1
1.833098086321E-15,3.073764836564E-1
2.052624897988E-15,3.261008655157E-1
2.317086944366E-15,3.441314142086E-1
2.594574937534E-15,3.656302395985E-1
2.835721393366E-15,3.815808447783E-1
3.099280619907E-15,3.982250608408E-1
3.387335717607E-15,4.162564986686E-1
3.732195902014E-15,4.349813250953E-1
4.079075770937E-15,4.557872064536E-1
4.422321012120E-15,4.745124774478E-1
4.872551685100E-15,4.980925800529E-1
5.197891956116E-15,5.140438520839E-1
5.727082484588E-15,5.369303438065E-1
6.361338082805E-15,5.674463329543E-1
7.357118693204E-15,6.069781521579E-1
8.238187099653E-15,6.354130863741E-1
9.003865358865E-15,6.645422983241E-1
1.016393150658E-14,7.033811734961E-1
1.138113613643E-14,7.318161077123E-1
1.243892814812E-14,7.602517087797E-1
1.438607249147E-14,7.990899171006E-1
1.610890917437E-14,8.268312404342E-1
1.789291802225E-14,8.545727860515E-1
2.120152034228E-14,8.934103275213E-1
2.512192054227E-14,9.218437057515E-1
2.905441415389E-14,9.468096964197E-1
3.279781112377E-14,9.627594124648E-1
3.886249626017E-14,9.787077948075E-1
5.114834257820E-14,9.897980112836E-1
6.517740130010E-14,9.911785645376E-1
7.660798232643E-14,9.870124535675E-1
9.375517604720E-14,9.772963441179E-1
1.101976256550E-13,9.668877352041E-1
1.254047030240E-13,9.550927936599E-1
1.522390987629E-13,9.377471867849E-1
1.774983575309E-13,9.204026913285E-1
2.086273887185E-13,8.995899191751E-1
2.393435665202E-13,8.815522574035E-1
2.658500813768E-13,8.593538194708E-1
3.049911472661E-13,8.302183835770E-1
3.855172894189E-13,7.795783429168E-1
4.718077704318E-13,7.407305763964E-1
6.209633398623E-13,6.887022025524E-1
7.723335289437E-13,6.505476023471E-1
8.789141894571E-13,6.283484975634E-1
1.041435334568E-12,5.964377290041E-1
1.175614803998E-12,5.742388465041E-1
1.284879462076E-12,5.575897401999E-1
1.510217056202E-12,5.305344701029E-1
1.732566077115E-12,5.069479212701E-1
1.940053450405E-12,4.854428719364E-1
2.154908005943E-12,4.687933210649E-1
2.412973893149E-12,4.500627152617E-1
2.768235661932E-12,4.264761664289E-1
3.124897645681E-12,4.042772839289E-1
3.527512281657E-12,3.848528449594E-1
3.982000151088E-12,3.647347951072E-1
4.756592580234E-12,3.383726913254E-1
5.590786883982E-12,3.189471409373E-1
6.362305582257E-12,3.036841449799E-1
1.016547734458E-11,2.592801560359E-1
1.224140616496E-11,2.433219932099E-1
1.450498021071E-11,2.308323293645E-1
2.472300099653E-11,1.954435036251E-1
3.001328737811E-11,1.850340055765E-1
3.702914166774E-11,1.732368411952E-1
5.241120682328E-11,1.572742326950E-1
6.898029255731E-11,1.440880682788E-1
8.510500676611E-11,1.357589583107E-1
1.049990063559E-10,1.274298483426E-1
2.003978802732E-10,1.066037391666E-1
2.512701508058E-10,9.966140639636E-2
3.150566692618E-10,9.341268450874E-2
6.210577825226E-10,7.674735149380E-2
7.724509935803E-10,7.188607365517E-2
9.763995313419E-10,6.702435124911E-2
1.956088913254E-9,5.521384984522E-2
2.452654466969E-9,5.173957148815E-2
3.050529971984E-9,4.895912629743E-2
6.013379702002E-9,3.992351299150E-2
7.850741003259E-9,3.644812321589E-2
9.685916678973E-9,3.436151119151E-2
1.4E-8, 0.018
4.4E-7, .005
