1.018087798064E-16,8.143225984973E-1
1.126253806590E-16,8.161363873184E-1
1.252559016304E-16,8.193182080737E-1
1.400454178635E-16,8.229556525395E-1
1.565823361804E-16,8.279617093409E-1
1.741441561574E-16,8.329683465437E-1
1.936765978490E-16,8.388873919702E-1
2.154008911085E-16,8.457188456205E-1
2.382935138800E-16,8.534632878960E-1
2.636191450512E-16,8.612077301715E-1
2.916384835968E-16,8.703207847825E-1
3.209268405350E-16,8.798906239069E-1
3.531573932869E-16,8.899166671431E-1
3.845166136490E-16,8.999438711822E-1
4.208920240391E-16,9.104266989317E-1
4.582691905927E-16,9.218225153063E-1
4.989668327030E-16,9.336745357929E-1
5.318492555764E-16,9.441602655671E-1
5.729569766981E-16,9.551010386326E-1
6.205366079671E-16,9.678660477443E-1
6.649611832088E-16,9.801760135469E-1
7.125695942718E-16,9.933983875732E-1
7.635828643179E-16,1.005708353376E0
8.096002952525E-16,1.018475684093E0
8.583930541406E-16,1.031699218922E0
9.247579498660E-16,1.046289624883E0
9.857221068350E-16,1.060881191646E0
1.079029318336E-15,1.081400509857E0
1.206593002303E-15,1.109672976364E0
1.334964587890E-15,1.136577991338E0
1.484884703065E-15,1.166219650583E0
1.669344289382E-15,1.202247006590E0
1.837182903037E-15,1.231433622525E0
2.032713060254E-15,1.264725495066E0
2.225267364588E-15,1.297106120186E0
2.582984227638E-15,1.350465750036E0
2.919510471500E-15,1.398353832551E0
3.407024198746E-15,1.459468351903E0
3.912943070269E-15,1.514653959004E0
4.615266668042E-15,1.581241766895E0
5.531296502595E-15,1.653758487036E0
6.454844782901E-15,1.712135795638E0
7.653581172084E-15,1.769142736778E0
8.604221031747E-15,1.802432868115E0
9.621325429349E-15,1.828880518174E0
1.070146296925E-14,1.852135319852E0
1.196587303289E-14,1.869002683562E0
1.345066883835E-14,1.881763629864E0
1.528084058755E-14,1.889505170133E0
1.672568378417E-14,1.891776323869E0
1.860086641669E-14,1.889483695281E0
2.068588202918E-14,1.883541433799E0
2.288236288884E-14,1.874862528047E0
2.517749953015E-14,1.862990773913E0
2.740992302510E-14,1.850663976470E0
2.984000036543E-14,1.836512362580E0
3.265812472713E-14,1.819622943616E0
3.499113383300E-14,1.805016866818E0
3.789072135706E-14,1.787216200434E0
4.103008979544E-14,1.767134513491E0
4.466617225994E-14,1.746596042034E0
4.836655690740E-14,1.725145742755E0
5.209594016110E-14,1.703696023877E0
5.611288367012E-14,1.682246304999E0
6.043897418717E-14,1.658971769674E0
6.373214969848E-14,1.643455025856E0
6.791768423529E-14,1.613794793767E0
7.393188271611E-14,1.581395015402E0
8.005194376841E-14,1.548539599403E0
8.900918909973E-14,1.508838233642E0
9.586797396231E-14,1.478720636639E0
1.065949210141E-13,1.439019270878E0
1.217100758998E-13,1.394296757879E0
1.367724526656E-13,1.351857006644E0
1.488877997797E-13,1.324475473509E0
1.638036082308E-13,1.292074534340E0
1.850596412590E-13,1.253283835599E0
2.146938759327E-13,1.206278560836E0
2.504017907911E-13,1.160185113896E0
2.859198427738E-13,1.122761866687E0
3.424461492191E-13,1.073015884845E0
4.036720451210E-13,1.028289889438E0
4.708302377524E-13,9.899519124001E-1
5.821748499023E-13,9.379214275904E-1
7.236914130391E-13,8.872589747149E-1
8.854175242234E-13,8.443537329455E-1
1.136301047383E-12,7.932315935497E-1
1.346671710639E-12,7.589977123143E-1
1.710052613631E-12,7.156322036233E-1
2.103417973307E-12,6.786570349069E-1
2.628844343689E-12,6.416801249863E-1
3.303033236867E-12,6.051588387762E-1
4.239288565940E-12,5.690914350724E-1
5.860843827988E-12,5.238918235116E-1
7.932563065740E-12,4.859937992755E-1
1.150412021783E-11,4.421575764378E-1
1.573745869948E-11,4.097328408123E-1
2.222588197283E-11,3.759360104429E-1
3.327845428505E-11,3.398517750987E-1
5.282642746604E-11,3.033049512273E-1
7.952084913744E-11,2.749756053837E-1
1.296350627798E-10,2.448127370716E-1
1.972333444659E-10,2.219566797677E-1
3.049049939455E-10,2.004674935953E-1
5.077557144446E-10,1.780577735796E-1
8.060927718751E-10,1.597591141833E-1
1.239587789436E-9,1.451135700904E-1
1.999566923325E-9,1.290941900494E-1
3.401510975535E-9,1.130690059944E-1
5.039847718509E-9,1.016209534944E-1
9.137848949915E-9,8.467639639894E-2
5.0E-8, 0.049
